label,precision,recall,f1-score,support
Entertainment,0.03,0.59,0.06,2369
Fashion,0.07,0.79,0.13,8093
Health,0.05,0.69,0.09,3157
Hip_hop_music,0.05,0.62,0.09,1176
Hobby,0.04,0.69,0.07,4621
Humour,0.01,0.41,0.02,131
Knowledge,0.01,0.69,0.02,150
Lifestyle_(sociology),0.98,0.71,0.76,193668
Music,0.01,0.39,0.01,119
Music_of_Asia,0.03,0.56,0.05,1016
Performing_arts,0.01,0.67,0.02,43
Physical_attractiveness,0.97,0.68,0.8,193116
Physical_fitness,0.02,0.26,0.04,494
Politics,0.03,0.35,0.04,123
Pop_music,0.19,0.69,0.31,2243
Religion,0.09,0.38,0.15,45
Society,0.09,0.6,0.16,462
Sport,0.05,0.36,0.09,208
Television_program,0.02,0.36,0.04,197
Tourism,0.0,0.38,0.0,26
